date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:06	326/326	---M--	200	added ('OK')	text/html	etag:%224ca07dd-146-4f031672e6480%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/closedhand.cur	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/closedhand.html	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:07	933/933	---M--	200	added ('OK')	image/png	etag:%224ca07c8-3a5-50c782599d280%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:08	931/931	---M--	200	added ('OK')	image/png	etag:%224ca07cb-3a3-50c782599d280%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile_white.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile_white.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:09	938/938	---M--	200	added ('OK')	image/png	etag:%224ca07c9-3aa-50c782599d280%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile_3x3.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile_3x3.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:10	935/935	---M--	200	added ('OK')	image/png	etag:%224ca07ca-3a7-50c782599d280%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile_3x3_white.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/gridtile_3x3_white.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:11	184/184	---M--	200	added ('OK')	image/png	etag:%224ca07c7-b8-50c782599d280%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/coloredbg.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/coloredbg.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:12	2545/2545	---M--	200	added ('OK')	image/gif	etag:%224ca07cc-9f1-50c782599d280%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/loader.gif	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/assets/loader.gif	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:48	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224ca074f-1d794-50bc419543d80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons.eot?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons28b5.eot	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/style.css)
17:32:36	67904/67904	---M--	200	added ('OK')	font/woff	etag:%224ca0752-10940-50bc419543d80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons.woff?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons28b5.woff	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/style.css)
17:32:40	188508/188508	---M--	200	added ('OK')	font/ttf	etag:%224ca0751-2e05c-50bc419543d80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons.ttf?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons28b5.ttf	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/style.css)
17:32:44	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%224ca0750-5180a-50bc419543d80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons.svg?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/ionicons/fonts/ionicons28b5.svg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/style.css)
17:32:44	264/264	---M--	200	added ('OK')	image/svg+xml	etag:%224ca07bd-108-54bcfd4cbe900%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/plugins/pushy/img/arrow.svg	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/plugins/pushy/img/arrow.svg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/style.css)
